CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR3751820,SR,16-ene-24,16-ene-24,ALIMENTOS CARNICOS PANAMA - CEDI CENTRALES,AWS INTELIGENCIA DE NEGOCIOS,No,No,5,1
SR3749124,SR,15-ene-24,26-ene-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,AWS INTELIGENCIA DE NEGOCIOS,No,No,0,1
SR3932900,SR,10-may-24,10-may-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - BOGOTA- OFICINA CENTRAL,MESA DE SERVICIOS OFIMATICA,No,No,5,1
SR3949927,SR,22-may-24,22-may-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3902675,SR,22-abr-24,22-abr-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3891754,SR,16-abr-24,22-abr-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3784589,SR,8-feb-24,12-feb-24,COMPANIA NACIONAL DE CHOCOLATES - MEDELLIN- REGIONAL,DLLO DIGITAL GEORREFERENCIACION,No,No,0,1
SR3770100,SR,30-ene-24,30-ene-24,TROPICAL COFFEE COMPANY - MEDELLIN,null,No,No,5,1
SR3851668,SR,19-mar-24,22-mar-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,CONECTIVIDAD SENCINET,No,No,0,1
SR3843538,SR,13-mar-24,14-mar-24,SERVICIOS NUTRESA - RIONEGRO,CONECTIVIDAD SENCINET,No,No,0,1
SR3823984,SR,1-mar-24,6-mar-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD SENCINET,No,No,0,1
SR3884933,SR,12-abr-24,12-abr-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3816571,SR,27-feb-24,7-mar-24,CAMERONS COFFE - USA,SOPORTE CONECTIVIDAD TI,No,No,0,1
SR3796767,SR,15-feb-24,21-feb-24,ABIMAR FOODS - USA,SOPORTE SEGURIDAD TI,No,No,0,1
SR3769320,SR,29-ene-24,29-ene-24,ABIMAR FOODS - USA,SOPORTE SEGURIDAD TI,No,No,0,1
SR3843525,SR,13-mar-24,14-mar-24,MEALS DE COLOMBIA - MANIZALES - PLANTA HELADOS,SOPORTE SEGURIDAD TI,No,No,0,1
SR3851787,SR,19-mar-24,19-mar-24,CORDIALSA USA,SOPORTE SEGURIDAD TI,No,No,0,1
SR3813959,SR,26-feb-24,29-feb-24,ABIMAR FOODS - USA,SOPORTE SEGURIDAD TI,No,No,0,1
SR3754291,SR,18-ene-24,24-ene-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - CALI,SOPORTE SEGURIDAD TI,No,No,0,1
SR3867263,SR,2-abr-24,4-abr-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,null,No,No,0,1
SR3836184,SR,8-mar-24,8-mar-24,NOVAVENTA - CARMEN DE VIBORAL- CENTRO DE OPERACIONES,MESA DE SERVICIOS OFIMATICA,No,No,5,1
SR3778357,SR,5-feb-24,5-feb-24,ARMENIA Portal del Quindio,MESA DE SERVICIOS OFIMATICA,No,No,5,1
SR3909514,SR,25-abr-24,25-abr-24,INDUSTRIA COLOMBIANA DE CAFE COLCAFE - MEDELLIN - PLANTA CAFE,MESA DE SERVICIOS OFIMATICA,No,No,5,1
SR3934600,SR,14-may-24,14-may-24,MEALS DE COLOMBIA - BOGOTA - PLANTA HELADOS,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3838999,SR,11-mar-24,11-mar-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - BOGOTA- OFICINA CENTRAL,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3922579,SR,2-may-24,2-may-24,COMERCIAL NUTRESA - MEDELLIN- REGIONAL,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3877152,SR,9-abr-24,10-abr-24,NOVAVENTA - MEDELLIN- MULTICOMPANIA GUAYABAL,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3869781,SR,4-abr-24,4-abr-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,MESA DE SERVICIOS OFIMATICA,No,No,0,1
